date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:41	6072/6072	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b8-5d31839a1ce4c-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/809207c04.min.js?ver=1648652089	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/809207c04.min892c.js	(from https://www.ubagroup.com/alumni/our-focus)
15:56:41	371417/371417	---M--	200	added ('OK')	image/png	etag:%225aad9-5cfb89360f255%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/thumbs/uba-alumni-14-pff6r06kvqb1nluy8g8btrcpcmdb44fkjnhiz1epdw.png	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/thumbs/uba-alumni-14-pff6r06kvqb1nluy8g8btrcpcmdb44fkjnhiz1epdw.png	(from https://www.ubagroup.com/alumni/our-focus)
15:56:42	30514/30514	---M-Z	200	added ('OK')	text/css	etag:%227732-5d2e43f43076c-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/3308184bd.min.css?ver=1648652091	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/essential-addons-elementor/3308184bd.min6d0b.css	(from https://www.ubagroup.com/alumni/leadership)
15:56:43	22264/22264	---M-Z	200	added ('OK')	text/css	etag:%2256f8-5d0f949451e04-gzip%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-126.css?ver=1637143978	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/elementor/css/post-126d0af.css	(from https://www.ubagroup.com/alumni/leadership)
15:56:44	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:56:44%20GMT	https://www.ubagroup.com/alumni/wp-json/wp/v2/pages/126	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/wp/v2/pages/126	(from https://www.ubagroup.com/alumni/leadership)
15:56:46	96/96	---M--	401	error ('Unauthorized')	application/json	date:Wed,%2030%20Mar%202022%2014:56:46%20GMT	https://www.ubagroup.com/alumni/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ubagroup.com%2Falumni%2Fleadership	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/oembed/1.0/embed7f51	(from https://www.ubagroup.com/alumni/leadership)
15:56:47	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Wed,%2030%20Mar%202022%2014:56:47%20GMT	https://www.ubagroup.com/alumni/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ubagroup.com%2Falumni%2Fleadership&format=xml	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-json/oembed/1.0/embeddc1b	(from https://www.ubagroup.com/alumni/leadership)
15:56:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Mar%202022%2014:56:46%20GMT	https://www.ubagroup.com/alumni/?p=126	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/index4ab3.html	(from https://www.ubagroup.com/alumni/leadership)
15:56:48	188105/188105	---M--	200	added ('OK')	image/png	etag:%222dec9-5cf7b709b6e53%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/2021/10/Alumni-Mosun.png	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/2021/10/Alumni-Mosun.png	(from https://www.ubagroup.com/alumni/leadership)
15:56:48	245974/245974	---M--	200	added ('OK')	image/png	etag:%223c0d6-5cf7b6aaf93f0%22	https://www.ubagroup.com/alumni/wp-content/uploads/sites/32/2021/10/Alumni-babs.png	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/uploads/sites/32/2021/10/Alumni-babs.png	(from https://www.ubagroup.com/alumni/leadership)
